player,nationality,position,age,weekly_wages,annual_wages,notes,team_name,team_id,season
Georginio Rutter,fr FRA,CF,23,"£ 75,000 (€ 86,081, $99,378)","£ 3,900,000 (€ 4,476,194, $5,167,656)",Unverified estimation,Brighton,d07537b9,2025-2026
Mats Wieffer,nl NED,DM,25,"£ 60,000 (€ 68,865, $79,502)","£ 3,120,000 (€ 3,580,955, $4,134,125)",Unverified estimation,Brighton,d07537b9,2025-2026
James Milner,eng ENG,CM,39,"£ 60,000 (€ 68,865, $79,502)","£ 3,120,000 (€ 3,580,955, $4,134,125)",Unverified estimation,Brighton,d07537b9,2025-2026
Danny Welbeck,eng ENG,CF,34,"£ 60,000 (€ 68,865, $79,502)","£ 3,120,000 (€ 3,580,955, $4,134,125)",Unverified estimation,Brighton,d07537b9,2025-2026
Adam Webster,eng ENG,CB,30,"£ 55,000 (€ 63,126, $72,877)","£ 2,860,000 (€ 3,282,542, $3,789,614)",Unverified estimation,Brighton,d07537b9,2025-2026
Matt O'Riley,dk DEN,CM,24,"£ 50,000 (€ 57,387, $66,252)","£ 2,600,000 (€ 2,984,129, $3,445,104)",Unverified estimation,Brighton,d07537b9,2025-2026
Joël Veltman,nl NED,RB,33,"£ 50,000 (€ 57,387, $66,252)","£ 2,600,000 (€ 2,984,129, $3,445,104)",Unverified estimation,Brighton,d07537b9,2025-2026
Brajan Gruda,,RW,21,"£ 50,000 (€ 57,387, $66,252)","£ 2,600,000 (€ 2,984,129, $3,445,104)",Unverified estimation,Brighton,d07537b9,2025-2026
Solly March,eng ENG,RW,30,"£ 50,000 (€ 57,387, $66,252)","£ 2,600,000 (€ 2,984,129, $3,445,104)",Unverified estimation,Brighton,d07537b9,2025-2026
João Pedro,br BRA,CF,23,"£ 50,000 (€ 57,387, $66,252)","£ 2,600,000 (€ 2,984,129, $3,445,104)",Unverified estimation,Brighton,d07537b9,2025-2026
Jan Paul van Hecke,nl NED,CB,25,"£ 50,000 (€ 57,387, $66,252)","£ 2,600,000 (€ 2,984,129, $3,445,104)",Unverified estimation,Brighton,d07537b9,2025-2026
Igor,br BRA,CB,27,"£ 45,000 (€ 51,648, $59,627)","£ 2,340,000 (€ 2,685,716, $3,100,594)",,Brighton,d07537b9,2025-2026
Tariq Lamptey,gh GHA,RB,24,"£ 45,000 (€ 51,648, $59,627)","£ 2,340,000 (€ 2,685,716, $3,100,594)",Unverified estimation,Brighton,d07537b9,2025-2026
Ibrahim Osman,,LW,20,"£ 45,000 (€ 51,648, $59,627)","£ 2,340,000 (€ 2,685,716, $3,100,594)",Unverified estimation,Brighton,d07537b9,2025-2026
Yankuba Minteh,,RW,20,"£ 40,000 (€ 45,910, $53,002)","£ 2,080,000 (€ 2,387,303, $2,756,083)",Unverified estimation,Brighton,d07537b9,2025-2026
Bart Verbruggen,nl NED,GK,22,"£ 35,000 (€ 40,171, $46,376)","£ 1,820,000 (€ 2,088,890, $2,411,573)",Unverified estimation,Brighton,d07537b9,2025-2026
Diego Gómez,,CM,22,"£ 25,000 (€ 28,694, $33,126)","£ 1,300,000 (€ 1,492,065, $1,722,552)",Unverified estimation,Brighton,d07537b9,2025-2026
Facundo Buonanotte,,AM,20,"£ 25,000 (€ 28,694, $33,126)","£ 1,300,000 (€ 1,492,065, $1,722,552)",Unverified estimation,Brighton,d07537b9,2025-2026
Abdallah Sima,sn SEN,LW,24,"£ 20,000 (€ 22,955, $26,501)","£ 1,040,000 (€ 1,193,652, $1,378,042)",Unverified estimation,Brighton,d07537b9,2025-2026
Kjell Scherpen,nl NED,GK,25,"£ 20,000 (€ 22,955, $26,501)","£ 1,040,000 (€ 1,193,652, $1,378,042)",Unverified estimation,Brighton,d07537b9,2025-2026
Jeremy Sarmiento,ec ECU,LW,23,"£ 20,000 (€ 22,955, $26,501)","£ 1,040,000 (€ 1,193,652, $1,378,042)",Unverified estimation,Brighton,d07537b9,2025-2026
Jason Steele,eng ENG,GK,34,"£ 20,000 (€ 22,955, $26,501)","£ 1,040,000 (€ 1,193,652, $1,378,042)",Unverified estimation,Brighton,d07537b9,2025-2026
Stefanos Tzimas,,CF,19,"£ 15,000 (€ 17,216, $19,876)","£ 780,000 (€ 895,239, $1,033,531)",Unverified estimation,Brighton,d07537b9,2025-2026
Julio Enciso,py PAR,AM,21,"£ 15,000 (€ 17,216, $19,876)","£ 780,000 (€ 895,239, $1,033,531)",Unverified estimation,Brighton,d07537b9,2025-2026
Andrew Moran,,AM,21,"£ 15,000 (€ 17,216, $19,876)","£ 780,000 (€ 895,239, $1,033,531)",Unverified estimation,Brighton,d07537b9,2025-2026
Eiran Cashin,ie IRL,CB,23,"£ 15,000 (€ 17,216, $19,876)","£ 780,000 (€ 895,239, $1,033,531)",Unverified estimation,Brighton,d07537b9,2025-2026
Tom McGill,,GK,25,"£ 15,000 (€ 17,216, $19,876)","£ 780,000 (€ 895,239, $1,033,531)",Unverified estimation,Brighton,d07537b9,2025-2026
Malick Yalcouyé,,LM,19,"£ 15,000 (€ 17,216, $19,876)","£ 780,000 (€ 895,239, $1,033,531)",Unverified estimation,Brighton,d07537b9,2025-2026
Simon Adingra,ci CIV,LW,23,"£ 12,500 (€ 14,347, $16,563)","£ 650,000 (€ 746,032, $861,276)",Unverified estimation,Brighton,d07537b9,2025-2026
Carlos Baleba,,DM,21,"£ 12,500 (€ 14,347, $16,563)","£ 650,000 (€ 746,032, $861,276)",Unverified estimation,Brighton,d07537b9,2025-2026
Amario Cozier-Duberry,,RW,20,"£ 10,000 (€ 11,477, $13,250)","£ 520,000 (€ 596,826, $689,021)",Unverified estimation,Brighton,d07537b9,2025-2026
Jack Hinshelwood,,CM,20,"£ 10,000 (€ 11,477, $13,250)","£ 520,000 (€ 596,826, $689,021)",Unverified estimation,Brighton,d07537b9,2025-2026
Yasin Ayari,,CM,21,"£ 8,000 (€ 9,182, $10,600)","£ 416,000 (€ 477,461, $551,217)",Unverified estimation,Brighton,d07537b9,2025-2026
Odeluga Offiah,,RB,22,"£ 5,000 (€ 5,739, $6,625)","£ 260,000 (€ 298,413, $344,510)",Unverified estimation,Brighton,d07537b9,2025-2026
James Beadle,,GK,20,"£ 5,000 (€ 5,739, $6,625)","£ 260,000 (€ 298,413, $344,510)",Unverified estimation,Brighton,d07537b9,2025-2026
Carl Rushworth,eng ENG,GK,23,"£ 5,000 (€ 5,739, $6,625)","£ 260,000 (€ 298,413, $344,510)",Unverified estimation,Brighton,d07537b9,2025-2026
Do-young Yoon,,RW,18,,,,Brighton,d07537b9,2025-2026
Diego Coppola,it ITA,CB,21,,,,Brighton,d07537b9,2025-2026
Tom Watson,,LW,19,,,,Brighton,d07537b9,2025-2026
Charalampos Kostoulas,,CF,18,,,,Brighton,d07537b9,2025-2026
Josh Cullen,ie IRL,CM,29,"£ 40,000 (€ 45,910, $53,002)","£ 2,080,000 (€ 2,387,303, $2,756,083)",Unverified estimation,Burnley,943e8050,2025-2026
Joe Worrall,eng ENG,CB,28,"£ 35,000 (€ 40,171, $46,376)","£ 1,820,000 (€ 2,088,890, $2,411,573)",Unverified estimation,Burnley,943e8050,2025-2026
Bashir Humphreys,,LB,22,"£ 35,000 (€ 40,171, $46,376)","£ 1,820,000 (€ 2,088,890, $2,411,573)",Unverified estimation,Burnley,943e8050,2025-2026
Jaidon Anthony,eng ENG,LW,25,"£ 35,000 (€ 40,171, $46,376)","£ 1,820,000 (€ 2,088,890, $2,411,573)",Unverified estimation,Burnley,943e8050,2025-2026
Lyle Foster,za RSA,CF,24,"£ 32,500 (€ 37,302, $43,064)","£ 1,690,000 (€ 1,939,684, $2,239,318)",Unverified estimation,Burnley,943e8050,2025-2026
Zeki Amdouni,ch SUI,CF,24,"£ 30,000 (€ 34,432, $39,751)","£ 1,560,000 (€ 1,790,478, $2,067,062)",Unverified estimation,Burnley,943e8050,2025-2026
Connor Roberts,wls WAL,RB,29,"£ 30,000 (€ 34,432, $39,751)","£ 1,560,000 (€ 1,790,478, $2,067,062)",Unverified estimation,Burnley,943e8050,2025-2026
Marcus Edwards,eng ENG,RW,26,"£ 30,000 (€ 34,432, $39,751)","£ 1,560,000 (€ 1,790,478, $2,067,062)",Unverified estimation,Burnley,943e8050,2025-2026
Aaron Ramsey,eng ENG,AM,22,"£ 25,000 (€ 28,694, $33,126)","£ 1,300,000 (€ 1,492,065, $1,722,552)",Unverified estimation,Burnley,943e8050,2025-2026
Benson Manuel,ao ANG,RW,28,"£ 25,000 (€ 28,694, $33,126)","£ 1,300,000 (€ 1,492,065, $1,722,552)",Unverified estimation,Burnley,943e8050,2025-2026
Mike Trésor,,LW,26,"£ 20,000 (€ 22,955, $26,501)","£ 1,040,000 (€ 1,193,652, $1,378,042)",Unverified estimation,Burnley,943e8050,2025-2026
Hannibal,,AM,22,"£ 20,000 (€ 22,955, $26,501)","£ 1,040,000 (€ 1,193,652, $1,378,042)",Unverified estimation,Burnley,943e8050,2025-2026
Hjalmar Ekdal,,CB,26,"£ 20,000 (€ 22,955, $26,501)","£ 1,040,000 (€ 1,193,652, $1,378,042)",Unverified estimation,Burnley,943e8050,2025-2026
Ashley Barnes,eng ENG,CF,35,"£ 20,000 (€ 22,955, $26,501)","£ 1,040,000 (€ 1,193,652, $1,378,042)",Unverified estimation,Burnley,943e8050,2025-2026
Luca Koleosho,,RW,20,"£ 20,000 (€ 22,955, $26,501)","£ 1,040,000 (€ 1,193,652, $1,378,042)",Unverified estimation,Burnley,943e8050,2025-2026
Maxime Estève,fr FRA,CB,23,"£ 15,000 (€ 17,216, $19,876)","£ 780,000 (€ 895,239, $1,033,531)",Unverified estimation,Burnley,943e8050,2025-2026
Michael Obafemi,ie IRL,CF,24,"£ 15,000 (€ 17,216, $19,876)","£ 780,000 (€ 895,239, $1,033,531)",Unverified estimation,Burnley,943e8050,2025-2026
Lucas Pires,,LB,24,"£ 15,000 (€ 17,216, $19,876)","£ 780,000 (€ 895,239, $1,033,531)",Unverified estimation,Burnley,943e8050,2025-2026
Zian Flemming,nl NED,CF,26,"£ 15,000 (€ 17,216, $19,876)","£ 780,000 (€ 895,239, $1,033,531)",Unverified estimation,Burnley,943e8050,2025-2026
Josh Laurent,eng ENG,CM,30,"£ 15,000 (€ 17,216, $19,876)","£ 780,000 (€ 895,239, $1,033,531)",Unverified estimation,Burnley,943e8050,2025-2026
Hannes Delcroix,be BEL,CB,26,"£ 15,000 (€ 17,216, $19,876)","£ 780,000 (€ 895,239, $1,033,531)",Unverified estimation,Burnley,943e8050,2025-2026
Han-Noah Massengo,fr FRA,CM,23,"£ 15,000 (€ 17,216, $19,876)","£ 780,000 (€ 895,239, $1,033,531)",Unverified estimation,Burnley,943e8050,2025-2026
Václav Hladký,cz CZE,GK,34,"£ 10,000 (€ 11,477, $13,250)","£ 520,000 (€ 596,826, $689,021)",Unverified estimation,Burnley,943e8050,2025-2026
Etienne Green,eng ENG,GK,24,"£ 10,000 (€ 11,477, $13,250)","£ 520,000 (€ 596,826, $689,021)",Unverified estimation,Burnley,943e8050,2025-2026
Darko Churlinov,mk MKD,LW,24,"£ 10,000 (€ 11,477, $13,250)","£ 520,000 (€ 596,826, $689,021)",Unverified estimation,Burnley,943e8050,2025-2026
Andreas Hountondji,bj BEN,CF,22,"£ 8,500 (€ 9,756, $11,263)","£ 442,000 (€ 507,302, $585,668)",Unverified estimation,Burnley,943e8050,2025-2026
Oliver Sonne,,RB,24,"£ 8,500 (€ 9,756, $11,263)","£ 442,000 (€ 507,302, $585,668)",Unverified estimation,Burnley,943e8050,2025-2026
Jaydon Banel,,LW,20,"£ 7,500 (€ 8,608, $9,938)","£ 390,000 (€ 447,619, $516,766)",Unverified estimation,Burnley,943e8050,2025-2026
Shurandy Sambo,,RB,23,"£ 6,000 (€ 6,886, $7,950)","£ 312,000 (€ 358,096, $413,412)",Unverified estimation,Burnley,943e8050,2025-2026
Enock Agyei,,RW,20,"£ 4,000 (€ 4,591, $5,300)","£ 208,000 (€ 238,730, $275,608)",Unverified estimation,Burnley,943e8050,2025-2026
Jordan Beyer,de GER,CB,25,"£ 3,000 (€ 3,443, $3,975)","£ 156,000 (€ 179,048, $206,706)",Unverified estimation,Burnley,943e8050,2025-2026
Oluwaseun Adewumi,,AM,20,"£ 2,500 (€ 2,869, $3,313)","£ 130,000 (€ 149,206, $172,255)",Unverified estimation,Burnley,943e8050,2025-2026
Owen Dodgson,,LB,22,"£ 2,500 (€ 2,869, $3,313)","£ 130,000 (€ 149,206, $172,255)",Unverified estimation,Burnley,943e8050,2025-2026
Max Weiß,de GER,GK,21,,,,Burnley,943e8050,2025-2026
Quilindschy Hartman,,LB,23,,,,Burnley,943e8050,2025-2026
Axel Tuanzebe,cd COD,RB,27,,,,Burnley,943e8050,2025-2026
Raheem Sterling,eng ENG,RW,30,"£ 325,000 (€ 373,016, $430,638)","£ 16,900,000 (€ 19,396,840, $22,393,176)",,Chelsea,cff3d9bb,2025-2026
Reece James,eng ENG,RB,25,"£ 250,000 (€ 286,936, $331,260)","£ 13,000,000 (€ 14,920,646, $17,225,520)",,Chelsea,cff3d9bb,2025-2026
Wesley Fofana,fr FRA,CB,24,"£ 200,000 (€ 229,548, $265,008)","£ 10,400,000 (€ 11,936,517, $13,780,416)",,Chelsea,cff3d9bb,2025-2026
Christopher Nkunku,fr FRA,AM,27,"£ 195,000 (€ 223,810, $258,383)","£ 10,140,000 (€ 11,638,104, $13,435,906)",Unverified estimation,Chelsea,cff3d9bb,2025-2026
Enzo Fernández,ar ARG,CM,24,"£ 180,000 (€ 206,594, $238,507)","£ 9,360,000 (€ 10,742,865, $12,402,374)",,Chelsea,cff3d9bb,2025-2026
Marc Cucurella,es ESP,LB,26,"£ 175,000 (€ 200,855, $231,882)","£ 9,100,000 (€ 10,444,452, $12,057,864)",,Chelsea,cff3d9bb,2025-2026
Pedro Neto,pt POR,RW,25,"£ 160,000 (€ 183,639, $212,006)","£ 8,320,000 (€ 9,549,213, $11,024,333)",Unverified estimation,Chelsea,cff3d9bb,2025-2026
Moisés Caicedo,ec ECU,DM,23,"£ 150,000 (€ 172,161, $198,756)","£ 7,800,000 (€ 8,952,388, $10,335,312)",,Chelsea,cff3d9bb,2025-2026
Cole Palmer,eng ENG,AM,23,"£ 130,000 (€ 149,206, $172,255)","£ 6,760,000 (€ 7,758,736, $8,957,270)",,Chelsea,cff3d9bb,2025-2026
Tosin Adarabioyo,eng ENG,CB,27,"£ 120,000 (€ 137,729, $159,005)","£ 6,240,000 (€ 7,161,910, $8,268,250)",,Chelsea,cff3d9bb,2025-2026
Levi Colwill,eng ENG,CB,22,"£ 100,000 (€ 114,774, $132,504)","£ 5,200,000 (€ 5,968,258, $6,890,208)",,Chelsea,cff3d9bb,2025-2026
Mykhailo Mudryk,ua UKR,LW,24,"£ 100,000 (€ 114,774, $132,504)","£ 5,200,000 (€ 5,968,258, $6,890,208)",,Chelsea,cff3d9bb,2025-2026
Liam Delap,,CF,22,"£ 100,000 (€ 114,774, $132,504)","£ 5,200,000 (€ 5,968,258, $6,890,208)",,Chelsea,cff3d9bb,2025-2026
Ben Chilwell,eng ENG,LB,28,"£ 100,000 (€ 114,774, $132,504)","£ 5,200,000 (€ 5,968,258, $6,890,208)",,Chelsea,cff3d9bb,2025-2026
Nicolas Jackson,sn SEN,CF,24,"£ 100,000 (€ 114,774, $132,504)","£ 5,200,000 (€ 5,968,258, $6,890,208)",Unverified estimation,Chelsea,cff3d9bb,2025-2026
Benoît Badiashile,fr FRA,CB,24,"£ 90,000 (€ 103,297, $119,254)","£ 4,680,000 (€ 5,371,433, $6,201,187)",Unverified estimation,Chelsea,cff3d9bb,2025-2026
Kiernan Dewsbury-Hall,eng ENG,CM,26,"£ 80,000 (€ 91,819, $106,003)","£ 4,160,000 (€ 4,774,607, $5,512,166)",Unverified estimation,Chelsea,cff3d9bb,2025-2026
Robert Sánchez,es ESP,GK,27,"£ 60,000 (€ 68,865, $79,502)","£ 3,120,000 (€ 3,580,955, $4,134,125)",Unverified estimation,Chelsea,cff3d9bb,2025-2026
Marc Guiu,,CF,19,"£ 50,000 (€ 57,387, $66,252)","£ 2,600,000 (€ 2,984,129, $3,445,104)",,Chelsea,cff3d9bb,2025-2026
Filip Jørgensen,dk DEN,GK,23,"£ 50,000 (€ 57,387, $66,252)","£ 2,600,000 (€ 2,984,129, $3,445,104)",Unverified estimation,Chelsea,cff3d9bb,2025-2026
Trevoh Chalobah,eng ENG,CB,25,"£ 50,000 (€ 57,387, $66,252)","£ 2,600,000 (€ 2,984,129, $3,445,104)",Unverified estimation,Chelsea,cff3d9bb,2025-2026
Roméo Lavia,,DM,21,"£ 45,000 (€ 51,648, $59,627)","£ 2,340,000 (€ 2,685,716, $3,100,594)",Unverified estimation,Chelsea,cff3d9bb,2025-2026
Malo Gusto,fr FRA,RB,22,"£ 45,000 (€ 51,648, $59,627)","£ 2,340,000 (€ 2,685,716, $3,100,594)",Unverified estimation,Chelsea,cff3d9bb,2025-2026
Lesley Ugochukwu,fr FRA,DM,21,"£ 45,000 (€ 51,648, $59,627)","£ 2,340,000 (€ 2,685,716, $3,100,594)",Unverified estimation,Chelsea,cff3d9bb,2025-2026
Armando Broja,al ALB,CF,23,"£ 40,000 (€ 45,910, $53,002)","£ 2,080,000 (€ 2,387,303, $2,756,083)",Unverified estimation,Chelsea,cff3d9bb,2025-2026
Gaga Slonina,us USA,GK,21,"£ 40,000 (€ 45,910, $53,002)","£ 2,080,000 (€ 2,387,303, $2,756,083)",Unverified estimation,Chelsea,cff3d9bb,2025-2026
Axel Disasi,fr FRA,CB,27,"£ 40,000 (€ 45,910, $53,002)","£ 2,080,000 (€ 2,387,303, $2,756,083)",Unverified estimation,Chelsea,cff3d9bb,2025-2026
David Datro Fofana,,CF,22,"£ 30,000 (€ 34,432, $39,751)","£ 1,560,000 (€ 1,790,478, $2,067,062)",Unverified estimation,Chelsea,cff3d9bb,2025-2026
Andrey Santos,,CM,21,"£ 30,000 (€ 34,432, $39,751)","£ 1,560,000 (€ 1,790,478, $2,067,062)",Unverified estimation,Chelsea,cff3d9bb,2025-2026
Renato Veiga,,CB,21,"£ 25,000 (€ 28,694, $33,126)","£ 1,300,000 (€ 1,492,065, $1,722,552)",Unverified estimation,Chelsea,cff3d9bb,2025-2026
Aarón Anselmino,,CB,20,"£ 15,000 (€ 17,216, $19,876)","£ 780,000 (€ 895,239, $1,033,531)",Unverified estimation,Chelsea,cff3d9bb,2025-2026
Caleb Wiley,us USA,LB,20,"£ 12,000 (€ 13,773, $15,900)","£ 624,000 (€ 716,191, $826,825)",Unverified estimation,Chelsea,cff3d9bb,2025-2026
Alfie Gilchrist,,RB,21,"£ 10,000 (€ 11,477, $13,250)","£ 520,000 (€ 596,826, $689,021)",Unverified estimation,Chelsea,cff3d9bb,2025-2026
Mike Penders,,GK,19,"£ 10,000 (€ 11,477, $13,250)","£ 520,000 (€ 596,826, $689,021)",Unverified estimation,Chelsea,cff3d9bb,2025-2026
Tyrique George,,LW,19,"£ 7,500 (€ 8,608, $9,938)","£ 390,000 (€ 447,619, $516,766)",Unverified estimation,Chelsea,cff3d9bb,2025-2026
Josh Acheampong,,RB,19,"£ 5,000 (€ 5,739, $6,625)","£ 260,000 (€ 298,413, $344,510)",Unverified estimation,Chelsea,cff3d9bb,2025-2026
Mathis Amougou,,CM,19,,,,Chelsea,cff3d9bb,2025-2026
Dario Essugo,pt POR,DM,20,,,,Chelsea,cff3d9bb,2025-2026
Mamadou Sarr,,CB,19,,,,Chelsea,cff3d9bb,2025-2026
Kendry Páez,,AM,18,,,,Chelsea,cff3d9bb,2025-2026
Estêvão,,RW,18,,,,Chelsea,cff3d9bb,2025-2026
Daichi Kamada,jp JPN,MF,28,"£ 105,000 (€ 120,513, $139,129)","£ 5,460,000 (€ 6,266,671, $7,234,718)",,Crystal Palace,47c64c55,2025-2026
Eberechi Eze,eng ENG,MF,27,"£ 100,000 (€ 114,774, $132,504)","£ 5,200,000 (€ 5,968,258, $6,890,208)",,Crystal Palace,47c64c55,2025-2026
Dean Henderson,eng ENG,GK,28,"£ 100,000 (€ 114,774, $132,504)","£ 5,200,000 (€ 5,968,258, $6,890,208)",Unverified estimation,Crystal Palace,47c64c55,2025-2026
Odsonne Édouard,fr FRA,FW,27,"£ 90,000 (€ 103,297, $119,254)","£ 4,680,000 (€ 5,371,433, $6,201,187)",Unverified estimation,Crystal Palace,47c64c55,2025-2026
Eddie Nketiah,eng ENG,CF,26,"£ 90,000 (€ 103,297, $119,254)","£ 4,680,000 (€ 5,371,433, $6,201,187)",Unverified estimation,Crystal Palace,47c64c55,2025-2026
Jefferson Lerma,co COL,MF,30,"£ 70,000 (€ 80,342, $92,753)","£ 3,640,000 (€ 4,177,781, $4,823,146)",Unverified estimation,Crystal Palace,47c64c55,2025-2026
Cheick Doucouré,ml MLI,DM,25,"£ 70,000 (€ 80,342, $92,753)","£ 3,640,000 (€ 4,177,781, $4,823,146)",Unverified estimation,Crystal Palace,47c64c55,2025-2026
Ismaila Sarr,sn SEN,MF,27,"£ 70,000 (€ 80,342, $92,753)","£ 3,640,000 (€ 4,177,781, $4,823,146)",Unverified estimation,Crystal Palace,47c64c55,2025-2026
