player,nationality,position,age,weekly_wages,annual_wages,notes,team_name,team_id,season
Carlos Miguel,br BRA,GK,26,"£ 15,000 (€ 17,216, $19,876)","£ 780,000 (€ 895,239, $1,033,531)",Unverified estimation,Nott'ham Forest,e4a775cb,2025-2026
Tyler Bindon,,CB,20,"£ 10,000 (€ 11,477, $13,250)","£ 520,000 (€ 596,826, $689,021)",Unverified estimation,Nott'ham Forest,e4a775cb,2025-2026
Wayne Hennessey,wls WAL,GK,38,"£ 10,000 (€ 11,477, $13,250)","£ 520,000 (€ 596,826, $689,021)",Unverified estimation,Nott'ham Forest,e4a775cb,2025-2026
Eric da Silva Moreira,,RM,19,"£ 8,000 (€ 9,182, $10,600)","£ 416,000 (€ 477,461, $551,217)",Unverified estimation,Nott'ham Forest,e4a775cb,2025-2026
Marko Stamenic,,DM,23,,,,Nott'ham Forest,e4a775cb,2025-2026
David Carmo,ao ANG,CB,25,,,,Nott'ham Forest,e4a775cb,2025-2026
Daniel Ballard,nir NIR,CB,25,"£ 25,000 (€ 28,694, $33,126)","£ 1,300,000 (€ 1,492,065, $1,722,552)",Unverified estimation,Sunderland,8ef52968,2025-2026
Wilson Isidor,fr FRA,CF,24,"£ 15,000 (€ 17,216, $19,876)","£ 780,000 (€ 895,239, $1,033,531)",Unverified estimation,Sunderland,8ef52968,2025-2026
Alan Browne,ie IRL,CM,30,"£ 15,000 (€ 17,216, $19,876)","£ 780,000 (€ 895,239, $1,033,531)",Unverified estimation,Sunderland,8ef52968,2025-2026
Patrick Roberts,eng ENG,RW,28,"£ 12,500 (€ 14,347, $16,563)","£ 650,000 (€ 746,032, $861,276)",Unverified estimation,Sunderland,8ef52968,2025-2026
Anthony Patterson,eng ENG,GK,25,"£ 10,000 (€ 11,477, $13,250)","£ 520,000 (€ 596,826, $689,021)",Unverified estimation,Sunderland,8ef52968,2025-2026
Dennis Cirkin,,LB,23,"£ 10,000 (€ 11,477, $13,250)","£ 520,000 (€ 596,826, $689,021)",Unverified estimation,Sunderland,8ef52968,2025-2026
Ian Poveda,eng ENG,RW,25,"£ 9,000 (€ 10,330, $11,925)","£ 468,000 (€ 537,143, $620,119)",Unverified estimation,Sunderland,8ef52968,2025-2026
Timothee Pembele,fr FRA,RB,22,"£ 7,500 (€ 8,608, $9,938)","£ 390,000 (€ 447,619, $516,766)",Unverified estimation,Sunderland,8ef52968,2025-2026
Luke O'Nien,eng ENG,CB,30,"£ 7,500 (€ 8,608, $9,938)","£ 390,000 (€ 447,619, $516,766)",Unverified estimation,Sunderland,8ef52968,2025-2026
Adil Aouchiche,fr FRA,AM,22,"£ 7,000 (€ 8,034, $9,275)","£ 364,000 (€ 417,778, $482,315)",Unverified estimation,Sunderland,8ef52968,2025-2026
Simon Moore,eng ENG,GK,35,"£ 7,000 (€ 8,034, $9,275)","£ 364,000 (€ 417,778, $482,315)",Unverified estimation,Sunderland,8ef52968,2025-2026
Pierre Ekwah,,DM,23,"£ 6,500 (€ 7,460, $8,613)","£ 338,000 (€ 387,937, $447,864)",Unverified estimation,Sunderland,8ef52968,2025-2026
Eliezer Mayenda,,CF,20,"£ 6,500 (€ 7,460, $8,613)","£ 338,000 (€ 387,937, $447,864)",Unverified estimation,Sunderland,8ef52968,2025-2026
Ajibola Alese,eng ENG,CB,24,"£ 6,000 (€ 6,886, $7,950)","£ 312,000 (€ 358,096, $413,412)",Unverified estimation,Sunderland,8ef52968,2025-2026
Blondy Nna Noukeu,,GK,23,"£ 6,000 (€ 6,886, $7,950)","£ 312,000 (€ 358,096, $413,412)",Unverified estimation,Sunderland,8ef52968,2025-2026
Abdoullah Ba,fr FRA,RM,21,"£ 5,000 (€ 5,739, $6,625)","£ 260,000 (€ 298,413, $344,510)",Unverified estimation,Sunderland,8ef52968,2025-2026
Romaine Mundle,,LW,22,"£ 5,000 (€ 5,739, $6,625)","£ 260,000 (€ 298,413, $344,510)",Unverified estimation,Sunderland,8ef52968,2025-2026
Leo Fuhr Hjelde,no NOR,LB,21,"£ 5,000 (€ 5,739, $6,625)","£ 260,000 (€ 298,413, $344,510)",Unverified estimation,Sunderland,8ef52968,2025-2026
Niall Huggins,wls WAL,RB,24,"£ 5,000 (€ 5,739, $6,625)","£ 260,000 (€ 298,413, $344,510)",Unverified estimation,Sunderland,8ef52968,2025-2026
Jay Matete,eng ENG,CM,24,"£ 4,500 (€ 5,165, $5,963)","£ 234,000 (€ 268,572, $310,059)",Unverified estimation,Sunderland,8ef52968,2025-2026
Milan Aleksic,,CM,19,"£ 3,000 (€ 3,443, $3,975)","£ 156,000 (€ 179,048, $206,706)",Unverified estimation,Sunderland,8ef52968,2025-2026
Trai Hume,nir NIR,RB,23,"£ 3,000 (€ 3,443, $3,975)","£ 156,000 (€ 179,048, $206,706)",Unverified estimation,Sunderland,8ef52968,2025-2026
Nectarios Triantis,,DM,22,"£ 3,000 (€ 3,443, $3,975)","£ 156,000 (€ 179,048, $206,706)",Unverified estimation,Sunderland,8ef52968,2025-2026
Joe Anderson,,CB,24,"£ 3,000 (€ 3,443, $3,975)","£ 156,000 (€ 179,048, $206,706)",Unverified estimation,Sunderland,8ef52968,2025-2026
Jenson Seelt,,CB,22,"£ 3,000 (€ 3,443, $3,975)","£ 156,000 (€ 179,048, $206,706)",Unverified estimation,Sunderland,8ef52968,2025-2026
Ahmed Abdullahi,,CF,21,"£ 2,000 (€ 2,295, $2,650)","£ 104,000 (€ 119,365, $137,804)",Unverified estimation,Sunderland,8ef52968,2025-2026
Chris Rigg,,AM,18,"£ 1,500 (€ 1,722, $1,988)","£ 78,000 (€ 89,524, $103,353)",Unverified estimation,Sunderland,8ef52968,2025-2026
Dan Neil,eng ENG,CM,23,"£ 1,346 (€ 1,545, $1,784)","£ 70,000 (€ 80,342, $92,753)",Unverified estimation,Sunderland,8ef52968,2025-2026
Nazarii Rusyn,,CF,26,,,,Sunderland,8ef52968,2025-2026
Luís Semedo,,CF,21,,,,Sunderland,8ef52968,2025-2026
Granit Xhaka,ch SUI,DM,32,,,,Sunderland,8ef52968,2025-2026
Enzo Le Fée,fr FRA,CM,25,,,,Sunderland,8ef52968,2025-2026
Son Heung-min,kr KOR,LW,32,"£ 190,000 (€ 218,071, $251,758)","£ 9,880,000 (€ 11,339,691, $13,091,395)",,Tottenham,361ca564,2025-2026
James Maddison,eng ENG,AM,28,"£ 170,000 (€ 195,116, $225,257)","£ 8,840,000 (€ 10,146,039, $11,713,354)",,Tottenham,361ca564,2025-2026
Cristian Romero,ar ARG,DF,27,"£ 165,000 (€ 189,377, $218,632)","£ 8,580,000 (€ 9,847,626, $11,368,843)",,Tottenham,361ca564,2025-2026
Dejan Kulusevski,se SWE,AM,25,"£ 110,000 (€ 126,252, $145,754)","£ 5,720,000 (€ 6,565,084, $7,579,229)",,Tottenham,361ca564,2025-2026
Richarlison,br BRA,FW,28,"£ 90,000 (€ 103,297, $119,254)","£ 4,680,000 (€ 5,371,433, $6,201,187)",,Tottenham,361ca564,2025-2026
Dominic Solanke,eng ENG,FW,27,"£ 90,000 (€ 103,297, $119,254)","£ 4,680,000 (€ 5,371,433, $6,201,187)",Unverified estimation,Tottenham,361ca564,2025-2026
Radu Drăgușin,ro ROU,CB,23,"£ 85,000 (€ 97,558, $112,628)","£ 4,420,000 (€ 5,073,020, $5,856,677)",,Tottenham,361ca564,2025-2026
Pedro Porro,es ESP,DF,25,"£ 85,000 (€ 97,558, $112,628)","£ 4,420,000 (€ 5,073,020, $5,856,677)",,Tottenham,361ca564,2025-2026
Ben Davies,wls WAL,"DF,MF",32,"£ 80,000 (€ 91,819, $106,003)","£ 4,160,000 (€ 4,774,607, $5,512,166)",Unverified estimation,Tottenham,361ca564,2025-2026
Archie Gray,,DM,19,"£ 75,000 (€ 86,081, $99,378)","£ 3,900,000 (€ 4,476,194, $5,167,656)",,Tottenham,361ca564,2025-2026
Destiny Udogie,it ITA,LB,22,"£ 75,000 (€ 86,081, $99,378)","£ 3,900,000 (€ 4,476,194, $5,167,656)",,Tottenham,361ca564,2025-2026
Guglielmo Vicario,it ITA,GK,28,"£ 75,000 (€ 86,081, $99,378)","£ 3,900,000 (€ 4,476,194, $5,167,656)",,Tottenham,361ca564,2025-2026
Rodrigo Bentancur,uy URU,MF,28,"£ 75,000 (€ 86,081, $99,378)","£ 3,900,000 (€ 4,476,194, $5,167,656)",Unverified estimation,Tottenham,361ca564,2025-2026
Brennan Johnson,wls WAL,"FW,MF",24,"£ 70,000 (€ 80,342, $92,753)","£ 3,640,000 (€ 4,177,781, $4,823,146)",Unverified estimation,Tottenham,361ca564,2025-2026
Pape Matar Sarr,sn SEN,MF,22,"£ 70,000 (€ 80,342, $92,753)","£ 3,640,000 (€ 4,177,781, $4,823,146)",Unverified estimation,Tottenham,361ca564,2025-2026
Lucas Bergvall,,CM,19,"£ 65,000 (€ 74,603, $86,128)","£ 3,380,000 (€ 3,879,368, $4,478,635)",Unverified estimation,Tottenham,361ca564,2025-2026
Manor Solomon,il ISR,LW,25,"£ 60,000 (€ 68,865, $79,502)","£ 3,120,000 (€ 3,580,955, $4,134,125)",,Tottenham,361ca564,2025-2026
Yves Bissouma,ml MLI,DM,28,"£ 55,000 (€ 63,126, $72,877)","£ 2,860,000 (€ 3,282,542, $3,789,614)",Unverified estimation,Tottenham,361ca564,2025-2026
Micky van de Ven,nl NED,DF,24,"£ 50,000 (€ 57,387, $66,252)","£ 2,600,000 (€ 2,984,129, $3,445,104)",Unverified estimation,Tottenham,361ca564,2025-2026
Djed Spence,eng ENG,FW,24,"£ 40,000 (€ 45,910, $53,002)","£ 2,080,000 (€ 2,387,303, $2,756,083)",,Tottenham,361ca564,2025-2026
Bryan Gil,es ESP,LW,24,"£ 40,000 (€ 45,910, $53,002)","£ 2,080,000 (€ 2,387,303, $2,756,083)",,Tottenham,361ca564,2025-2026
Wilson Odobert,,RW,20,"£ 25,000 (€ 28,694, $33,126)","£ 1,300,000 (€ 1,492,065, $1,722,552)",Unverified estimation,Tottenham,361ca564,2025-2026
Alejo Veliz,,CF,21,"£ 25,000 (€ 28,694, $33,126)","£ 1,300,000 (€ 1,492,065, $1,722,552)",Unverified estimation,Tottenham,361ca564,2025-2026
Ashley Phillips,,CB,20,"£ 20,000 (€ 22,955, $26,501)","£ 1,040,000 (€ 1,193,652, $1,378,042)",Unverified estimation,Tottenham,361ca564,2025-2026
Antonín Kinský,,GK,22,"£ 20,000 (€ 22,955, $26,501)","£ 1,040,000 (€ 1,193,652, $1,378,042)",Unverified estimation,Tottenham,361ca564,2025-2026
Brandon Austin,eng ENG,GK,26,"£ 15,000 (€ 17,216, $19,876)","£ 780,000 (€ 895,239, $1,033,531)",Unverified estimation,Tottenham,361ca564,2025-2026
Dane Scarlett,,CF,21,"£ 7,500 (€ 8,608, $9,938)","£ 390,000 (€ 447,619, $516,766)",Unverified estimation,Tottenham,361ca564,2025-2026
Min-hyeok Yang,,RW,19,"£ 7,500 (€ 8,608, $9,938)","£ 390,000 (€ 447,619, $516,766)",Unverified estimation,Tottenham,361ca564,2025-2026
Alfie Devine,,AM,20,"£ 6,500 (€ 7,460, $8,613)","£ 338,000 (€ 387,937, $447,864)",Unverified estimation,Tottenham,361ca564,2025-2026
Mikey Moore,,LW,17,"£ 5,000 (€ 5,739, $6,625)","£ 260,000 (€ 298,413, $344,510)",Unverified estimation,Tottenham,361ca564,2025-2026
Kevin Danso,at AUT,DF,26,,,,Tottenham,361ca564,2025-2026
Luka Vuskovic,,CB,18,,,,Tottenham,361ca564,2025-2026
Mathys Tel,fr FRA,FW,20,,,,Tottenham,361ca564,2025-2026
Mohammed Kudus,,RW,24,,,,Tottenham,361ca564,2025-2026
Jarrod Bowen,eng ENG,RW,28,"£ 150,000 (€ 172,161, $198,756)","£ 7,800,000 (€ 8,952,388, $10,335,312)",,West Ham,7c21e445,2025-2026
Lucas Paquetá,br BRA,AM,27,"£ 150,000 (€ 172,161, $198,756)","£ 7,800,000 (€ 8,952,388, $10,335,312)",,West Ham,7c21e445,2025-2026
Alphonse Areola,fr FRA,GK,32,"£ 120,000 (€ 137,729, $159,005)","£ 6,240,000 (€ 7,161,910, $8,268,250)",,West Ham,7c21e445,2025-2026
James Ward-Prowse,eng ENG,CM,30,"£ 115,000 (€ 131,990, $152,380)","£ 5,980,000 (€ 6,863,497, $7,923,739)",Unverified estimation,West Ham,7c21e445,2025-2026
Edson Álvarez,mx MEX,DM,27,"£ 100,000 (€ 114,774, $132,504)","£ 5,200,000 (€ 5,968,258, $6,890,208)",,West Ham,7c21e445,2025-2026
Max Kilman,eng ENG,CB,28,"£ 100,000 (€ 114,774, $132,504)","£ 5,200,000 (€ 5,968,258, $6,890,208)",Unverified estimation,West Ham,7c21e445,2025-2026
Emerson Palmieri,it ITA,LB,30,"£ 95,000 (€ 109,035, $125,879)","£ 4,940,000 (€ 5,669,845, $6,545,698)",,West Ham,7c21e445,2025-2026
Aaron Wan-Bissaka,eng ENG,RB,27,"£ 90,000 (€ 103,297, $119,254)","£ 4,680,000 (€ 5,371,433, $6,201,187)",,West Ham,7c21e445,2025-2026
Niclas Füllkrug,de GER,CF,32,"£ 90,000 (€ 103,297, $119,254)","£ 4,680,000 (€ 5,371,433, $6,201,187)",,West Ham,7c21e445,2025-2026
Tomáš Souček,cz CZE,DM,30,"£ 90,000 (€ 103,297, $119,254)","£ 4,680,000 (€ 5,371,433, $6,201,187)",Unverified estimation,West Ham,7c21e445,2025-2026
Michail Antonio,jm JAM,CF,35,"£ 85,000 (€ 97,558, $112,628)","£ 4,420,000 (€ 5,073,020, $5,856,677)",,West Ham,7c21e445,2025-2026
Guido Rodríguez,ar ARG,DM,31,"£ 75,000 (€ 86,081, $99,378)","£ 3,900,000 (€ 4,476,194, $5,167,656)",Unverified estimation,West Ham,7c21e445,2025-2026
Maxwel Cornet,ci CIV,LW,28,"£ 65,000 (€ 74,603, $86,128)","£ 3,380,000 (€ 3,879,368, $4,478,635)",Unverified estimation,West Ham,7c21e445,2025-2026
Nayef Aguerd,ma MAR,CB,29,"£ 50,000 (€ 57,387, $66,252)","£ 2,600,000 (€ 2,984,129, $3,445,104)",Unverified estimation,West Ham,7c21e445,2025-2026
Konstantinos Mavropanos,gr GRE,CB,27,"£ 50,000 (€ 57,387, $66,252)","£ 2,600,000 (€ 2,984,129, $3,445,104)",Unverified estimation,West Ham,7c21e445,2025-2026
Crysencio Summerville,nl NED,LW,23,"£ 30,000 (€ 34,432, $39,751)","£ 1,560,000 (€ 1,790,478, $2,067,062)",Unverified estimation,West Ham,7c21e445,2025-2026
Luis Guilherme,,RW,19,"£ 25,000 (€ 28,694, $33,126)","£ 1,300,000 (€ 1,492,065, $1,722,552)",Unverified estimation,West Ham,7c21e445,2025-2026
Jean-Clair Todibo,fr FRA,CB,25,"£ 25,000 (€ 28,694, $33,126)","£ 1,300,000 (€ 1,492,065, $1,722,552)",Unverified estimation,West Ham,7c21e445,2025-2026
Wes Foderingham,eng ENG,GK,34,"£ 15,000 (€ 17,216, $19,876)","£ 780,000 (€ 895,239, $1,033,531)",Unverified estimation,West Ham,7c21e445,2025-2026
Andy Irving,sct SCO,CM,25,"£ 5,000 (€ 5,739, $6,625)","£ 260,000 (€ 298,413, $344,510)",Unverified estimation,West Ham,7c21e445,2025-2026
Mohamadou Kanté,,CM,19,"£ 3,000 (€ 3,443, $3,975)","£ 156,000 (€ 179,048, $206,706)",Unverified estimation,West Ham,7c21e445,2025-2026
Kaelan Casey,,CB,20,"£ 2,500 (€ 2,869, $3,313)","£ 130,000 (€ 149,206, $172,255)",Unverified estimation,West Ham,7c21e445,2025-2026
Kyle Walker-Peters,eng ENG,RB,28,,,,West Ham,7c21e445,2025-2026
Oliver Scarles,,LB,19,,,,West Ham,7c21e445,2025-2026
Gonçalo Guedes,pt POR,LW,28,"£ 90,000 (€ 103,297, $119,254)","£ 4,680,000 (€ 5,371,433, $6,201,187)",Unverified estimation,Wolves,8cec06e1,2025-2026
Fábio Silva,pt POR,CF,22,"£ 80,000 (€ 91,819, $106,003)","£ 4,160,000 (€ 4,774,607, $5,512,166)",,Wolves,8cec06e1,2025-2026
João Gomes,br BRA,CM,24,"£ 70,000 (€ 80,342, $92,753)","£ 3,640,000 (€ 4,177,781, $4,823,146)",Unverified estimation,Wolves,8cec06e1,2025-2026
Hwang Hee-chan,kr KOR,CF,29,"£ 70,000 (€ 80,342, $92,753)","£ 3,640,000 (€ 4,177,781, $4,823,146)",Unverified estimation,Wolves,8cec06e1,2025-2026
Boubacar Traoré,ml MLI,DM,23,"£ 55,000 (€ 63,126, $72,877)","£ 2,860,000 (€ 3,282,542, $3,789,614)",,Wolves,8cec06e1,2025-2026
Matt Doherty,ie IRL,RB,33,"£ 50,000 (€ 57,387, $66,252)","£ 2,600,000 (€ 2,984,129, $3,445,104)",Unverified estimation,Wolves,8cec06e1,2025-2026
Marshall Munetsi,zw ZIM,CM,29,"£ 50,000 (€ 57,387, $66,252)","£ 2,600,000 (€ 2,984,129, $3,445,104)",Unverified estimation,Wolves,8cec06e1,2025-2026
Emmanuel Agbadou,ci CIV,CB,28,"£ 45,000 (€ 51,648, $59,627)","£ 2,340,000 (€ 2,685,716, $3,100,594)",Unverified estimation,Wolves,8cec06e1,2025-2026
Ki-Jana Hoever,nl NED,RB,23,"£ 40,000 (€ 45,910, $53,002)","£ 2,080,000 (€ 2,387,303, $2,756,083)",,Wolves,8cec06e1,2025-2026
Sam Johnstone,eng ENG,GK,32,"£ 40,000 (€ 45,910, $53,002)","£ 2,080,000 (€ 2,387,303, $2,756,083)",Unverified estimation,Wolves,8cec06e1,2025-2026
José Sá,pt POR,GK,32,"£ 40,000 (€ 45,910, $53,002)","£ 2,080,000 (€ 2,387,303, $2,756,083)",Unverified estimation,Wolves,8cec06e1,2025-2026
Sasa Kalajdzic,at AUT,CF,27,"£ 35,000 (€ 40,171, $46,376)","£ 1,820,000 (€ 2,088,890, $2,411,573)",Unverified estimation,Wolves,8cec06e1,2025-2026
Jean-Ricner Bellegarde,fr FRA,CM,27,"£ 35,000 (€ 40,171, $46,376)","£ 1,820,000 (€ 2,088,890, $2,411,573)",Unverified estimation,Wolves,8cec06e1,2025-2026
André,br BRA,DM,23,"£ 35,000 (€ 40,171, $46,376)","£ 1,820,000 (€ 2,088,890, $2,411,573)",Unverified estimation,Wolves,8cec06e1,2025-2026
Santiago Bueno,uy URU,CB,26,"£ 30,000 (€ 34,432, $39,751)","£ 1,560,000 (€ 1,790,478, $2,067,062)",Unverified estimation,Wolves,8cec06e1,2025-2026
Rodrigo Gomes,pt POR,RM,21,"£ 25,000 (€ 28,694, $33,126)","£ 1,300,000 (€ 1,492,065, $1,722,552)",Unverified estimation,Wolves,8cec06e1,2025-2026
Toti Gomes,pt POR,CB,26,"£ 25,000 (€ 28,694, $33,126)","£ 1,300,000 (€ 1,492,065, $1,722,552)",Unverified estimation,Wolves,8cec06e1,2025-2026
Daniel Bentley,eng ENG,GK,31,"£ 20,000 (€ 22,955, $26,501)","£ 1,040,000 (€ 1,193,652, $1,378,042)",Unverified estimation,Wolves,8cec06e1,2025-2026
Yerson Mosquera,co COL,CB,24,"£ 20,000 (€ 22,955, $26,501)","£ 1,040,000 (€ 1,193,652, $1,378,042)",Unverified estimation,Wolves,8cec06e1,2025-2026
Pedro Lima,,RB,19,"£ 15,000 (€ 17,216, $19,876)","£ 780,000 (€ 895,239, $1,033,531)",Unverified estimation,Wolves,8cec06e1,2025-2026
Jørgen Strand Larsen,no NOR,CF,25,"£ 15,000 (€ 17,216, $19,876)","£ 780,000 (€ 895,239, $1,033,531)",Unverified estimation,Wolves,8cec06e1,2025-2026
Nasser Djiga,bf BFA,CB,22,"£ 15,000 (€ 17,216, $19,876)","£ 780,000 (€ 895,239, $1,033,531)",Unverified estimation,Wolves,8cec06e1,2025-2026
Enso González,,LW,20,"£ 12,500 (€ 14,347, $16,563)","£ 650,000 (€ 746,032, $861,276)",Unverified estimation,Wolves,8cec06e1,2025-2026
Tommy Doyle,eng ENG,CM,23,"£ 10,000 (€ 11,477, $13,250)","£ 520,000 (€ 596,826, $689,021)",,Wolves,8cec06e1,2025-2026
Joe Hodge,,DM,22,"£ 10,000 (€ 11,477, $13,250)","£ 520,000 (€ 596,826, $689,021)",Unverified estimation,Wolves,8cec06e1,2025-2026
Hugo Bueno,,LB,22,"£ 10,000 (€ 11,477, $13,250)","£ 520,000 (€ 596,826, $689,021)",Unverified estimation,Wolves,8cec06e1,2025-2026
Tom King,wls WAL,GK,30,"£ 10,000 (€ 11,477, $13,250)","£ 520,000 (€ 596,826, $689,021)",Unverified estimation,Wolves,8cec06e1,2025-2026
Chiquinho,pt POR,LW,25,"£ 10,000 (€ 11,477, $13,250)","£ 520,000 (€ 596,826, $689,021)",Unverified estimation,Wolves,8cec06e1,2025-2026
Bastien Meupiyou,,CB,19,"£ 8,000 (€ 9,182, $10,600)","£ 416,000 (€ 477,461, $551,217)",Unverified estimation,Wolves,8cec06e1,2025-2026
Nathan Fraser,,CF,20,"£ 2,500 (€ 2,869, $3,313)","£ 130,000 (€ 149,206, $172,255)",Unverified estimation,Wolves,8cec06e1,2025-2026
Tawanda Chirewa,,AM,21,"£ 2,000 (€ 2,295, $2,650)","£ 104,000 (€ 119,365, $137,804)",Unverified estimation,Wolves,8cec06e1,2025-2026
Jhon Arias,co COL,RW,27,,,,Wolves,8cec06e1,2025-2026
Fer López,,RW,21,,,,Wolves,8cec06e1,2025-2026
